case(random),A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,mode,GU_majority_Ground_truth,Model_pred
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,4
23,2,0,1,0,1,2,1,0,1,2,0,1,2,0,2,0,0,0,1,0,unassisted,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,unassisted,0,3
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,unassisted,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,unassisted,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,unassisted,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
34,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,unassisted,0,0
35,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unassisted,0,0
41,1,1,1,1,3,1,1,1,1,1,1,0,1,2,2,1,1,1,0,1,unassisted,1,1
42,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,unassisted,1,1
43,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,unassisted,1,1
44,2,1,1,1,1,1,1,1,1,2,0,0,2,1,2,2,2,0,1,1,unassisted,1,1
45,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,unassisted,1,1
46,1,1,1,1,2,2,1,1,1,1,1,0,1,1,2,2,1,1,0,2,unassisted,1,1
47,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,unassisted,1,1
48,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,2,unassisted,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,unassisted,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,unassisted,1,1
51,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,unassisted,1,1
52,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,0,1,1,1,unassisted,1,1
53,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,2,0,1,1,1,unassisted,1,1
54,2,1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,1,2,1,unassisted,1,2
55,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,unassisted,1,1
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,unassisted,1,1
57,2,1,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,1,1,2,unassisted,1,2
58,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,unassisted,1,4
59,2,1,1,2,1,2,1,1,1,1,2,1,0,1,1,1,1,1,1,1,unassisted,1,1
60,2,2,1,1,2,1,1,1,1,2,1,0,1,2,2,2,2,1,1,2,unassisted,1,1
61,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,unassisted,1,1
62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
63,2,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,unassisted,1,1
64,1,1,1,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,unassisted,1,1
65,1,2,1,2,1,1,1,1,1,2,1,1,1,0,2,1,0,0,0,2,unassisted,1,2
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
67,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,unassisted,1,1
68,1,1,2,1,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,unassisted,1,1
69,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
70,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,unassisted,1,1
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
72,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,unassisted,1,2
73,0,2,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,unassisted,1,1
74,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,unassisted,1,2
75,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,unassisted,1,1
76,1,1,2,1,1,1,1,1,1,3,0,0,1,0,2,1,1,0,1,3,unassisted,1,0
77,2,1,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,unassisted,1,1
78,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,1,1,1,1,1,unassisted,1,1
79,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
80,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,unassisted,1,1
81,2,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,2,unassisted,1,1
82,2,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,3,unassisted,1,2
83,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,unassisted,1,1
84,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,unassisted,1,1
85,1,1,1,1,2,1,1,1,1,2,0,1,1,2,1,1,1,1,1,1,unassisted,1,1
86,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
87,1,1,1,1,1,1,1,1,1,2,0,0,1,0,1,1,1,0,1,1,unassisted,1,1
88,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,unassisted,1,1
89,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,unassisted,1,1
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
91,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,unassisted,1,2
92,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,unassisted,1,1
93,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,unassisted,1,1
94,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,unassisted,1,2
95,0,0,1,1,2,0,2,0,0,1,1,0,0,0,1,0,1,0,1,0,unassisted,1,1
96,2,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2,unassisted,1,2
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
98,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,unassisted,1,2
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
100,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,unassisted,1,0
101,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,2,unassisted,1,1
102,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,unassisted,1,1
103,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,unassisted,1,1
104,1,2,1,1,1,1,1,0,1,2,1,1,1,1,1,0,1,0,1,1,unassisted,1,1
105,1,2,1,2,2,2,1,1,1,2,1,1,3,2,1,1,4,1,3,2,unassisted,1,1
106,0,0,1,1,1,3,1,0,1,2,0,0,0,0,1,1,1,0,1,1,unassisted,1,0
107,2,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,1,unassisted,1,2
108,1,1,1,1,1,2,1,1,3,1,0,1,1,1,1,1,1,1,1,1,unassisted,1,1
109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,unassisted,1,1
110,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,unassisted,1,1
111,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,unassisted,1,1
112,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,unassisted,1,1
113,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,unassisted,1,2
114,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,unassisted,1,1
115,2,2,2,1,2,2,2,1,2,2,2,1,1,3,2,1,2,1,2,2,unassisted,1,2
116,2,4,1,2,1,1,1,2,2,2,1,1,3,2,2,1,2,1,1,3,unassisted,1,2
117,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,unassisted,1,1
118,2,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,unassisted,1,1
119,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
120,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,unassisted,1,0
121,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
123,2,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,2,1,unassisted,1,1
124,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
125,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,unassisted,1,1
126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
127,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,unassisted,1,1
128,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,unassisted,1,1
129,2,0,1,0,1,0,1,0,1,2,0,0,0,0,1,0,0,0,1,1,unassisted,1,1
130,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,unassisted,1,2
131,2,1,1,1,1,3,2,1,1,2,2,1,1,2,2,1,1,1,2,2,unassisted,1,1
132,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,unassisted,1,1
133,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,unassisted,1,2
134,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,unassisted,1,1
135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
136,1,2,1,1,1,1,1,1,3,1,1,1,1,0,1,1,1,0,1,1,unassisted,1,3
137,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,unassisted,1,1
138,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,unassisted,1,0
139,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,unassisted,1,1
140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
142,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,unassisted,1,1
143,1,2,1,2,1,0,1,1,1,2,0,1,1,0,1,0,1,0,1,2,unassisted,1,0
144,0,3,1,1,1,0,1,1,1,0,0,0,2,3,2,0,1,0,0,1,unassisted,1,0
145,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,unassisted,1,1
146,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,unassisted,1,1
147,3,2,2,2,1,3,2,1,1,2,0,2,1,0,2,1,1,0,3,2,unassisted,1,1
148,2,1,2,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,unassisted,1,1
149,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,1,1
150,0,1,1,0,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,0,unassisted,1,1
151,2,2,2,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,unassisted,2,2
152,3,2,3,2,3,2,2,3,2,2,3,1,2,3,2,3,2,1,2,3,unassisted,2,2
153,2,1,2,2,3,3,1,1,2,2,1,2,1,2,3,2,1,1,2,1,unassisted,2,2
154,2,2,3,1,2,2,3,1,3,2,3,1,1,2,3,1,2,2,1,3,unassisted,2,2
155,3,3,3,2,2,3,3,2,3,3,3,2,2,2,3,3,2,2,3,3,unassisted,2,2
156,2,2,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,unassisted,2,2
157,2,2,2,2,3,2,2,4,3,3,3,0,2,3,3,2,2,0,0,3,unassisted,2,3
158,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,unassisted,2,2
159,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,0,2,3,2,unassisted,2,2
160,2,2,3,3,2,2,2,2,4,2,2,1,2,2,3,4,2,2,2,2,unassisted,2,2
161,2,3,1,2,3,1,3,3,1,2,1,0,1,1,3,3,3,1,1,2,unassisted,2,3
162,3,3,3,3,2,2,3,2,2,2,2,2,3,2,3,2,2,2,3,2,unassisted,2,3
163,2,2,2,2,2,1,2,3,2,2,1,1,3,2,2,2,2,1,3,2,unassisted,2,2
164,2,3,4,2,1,2,2,2,4,3,3,2,3,2,2,2,3,2,1,3,unassisted,2,1
165,2,3,2,2,1,2,3,3,2,2,2,1,2,2,3,2,2,1,2,2,unassisted,2,3
166,2,3,2,2,3,3,2,3,1,2,2,3,1,3,2,2,1,1,3,2,unassisted,2,2
167,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,unassisted,2,2
168,2,2,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,1,2,2,unassisted,2,2
169,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,1,unassisted,2,2
170,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,unassisted,2,1
171,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,unassisted,2,2
172,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,unassisted,2,2
173,3,3,3,3,2,4,3,4,4,3,4,3,3,3,4,3,2,3,3,3,unassisted,2,3
174,2,2,1,3,2,3,2,1,3,3,2,1,1,2,3,2,2,1,2,3,unassisted,2,3
175,2,2,2,2,2,2,1,2,4,2,2,2,1,2,2,2,2,2,1,2,unassisted,2,2
176,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,unassisted,2,2
177,2,1,4,2,2,3,2,1,4,4,4,2,2,2,3,4,3,2,4,4,unassisted,2,2
178,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,2,unassisted,2,2
179,2,2,2,2,1,1,1,2,1,2,0,0,1,1,1,1,2,0,1,2,unassisted,2,1
180,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,unassisted,2,2
181,2,2,1,2,1,2,3,3,2,2,2,1,2,2,2,2,2,1,2,2,unassisted,2,2
182,3,3,3,3,2,4,3,4,3,2,3,2,3,3,3,3,3,3,3,3,unassisted,2,3
183,2,1,1,1,2,2,1,1,1,2,2,1,2,2,1,1,1,1,1,2,unassisted,2,1
184,2,4,4,2,4,3,2,4,4,2,2,4,4,3,4,4,2,2,2,4,unassisted,2,3
185,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,2,unassisted,2,2
186,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,unassisted,2,1
187,0,2,1,1,3,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,unassisted,2,1
188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,unassisted,2,1
189,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,unassisted,2,2
190,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,unassisted,2,2
191,3,2,3,3,2,3,3,2,2,3,3,3,3,3,3,3,2,2,2,3,unassisted,2,3
192,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,unassisted,2,2
193,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,unassisted,2,1
194,2,2,1,2,2,2,2,1,2,2,1,1,2,3,2,2,2,1,2,1,unassisted,2,2
195,2,2,4,4,2,2,4,4,2,4,2,2,4,3,2,4,4,2,2,4,unassisted,2,3
196,2,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,unassisted,2,2
197,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,unassisted,2,2
198,2,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,unassisted,2,1
199,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,unassisted,2,2
200,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,unassisted,2,2
201,4,3,4,3,3,3,3,3,3,3,3,2,4,2,3,3,4,3,2,3,unassisted,3,4
202,4,3,4,4,3,3,3,4,4,3,3,4,4,3,3,3,3,3,4,4,unassisted,3,3
203,0,0,0,4,0,0,4,0,4,4,0,1,0,0,0,0,0,0,0,2,unassisted,3,1
204,3,3,4,3,3,3,3,3,3,3,2,2,4,2,3,4,2,1,2,3,unassisted,3,3
205,2,2,2,2,2,3,2,4,3,2,2,2,2,3,3,2,2,2,2,3,unassisted,3,3
206,3,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,2,3,unassisted,3,3
207,4,4,4,3,3,4,3,3,4,3,3,1,3,3,3,3,4,3,4,4,unassisted,3,3
208,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,unassisted,3,2
209,3,3,3,3,2,3,3,2,2,2,2,2,2,3,3,3,2,2,2,3,unassisted,3,3
210,3,3,4,3,3,3,3,2,4,4,3,1,3,3,4,3,4,3,4,4,unassisted,3,4
211,2,3,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,unassisted,3,2
212,3,3,4,3,3,3,3,4,4,3,3,4,3,3,4,4,2,2,1,4,unassisted,3,3
213,3,3,3,3,3,3,2,2,2,3,1,3,2,3,3,3,3,2,3,3,unassisted,3,3
214,2,3,2,2,2,3,2,3,3,2,2,2,2,1,2,2,2,2,2,3,unassisted,3,2
215,3,3,3,3,3,4,3,2,3,3,2,4,2,2,4,3,2,2,2,4,unassisted,3,3
216,4,3,3,3,3,3,3,3,3,2,2,4,3,3,4,3,3,3,3,4,unassisted,3,4
217,3,3,2,2,2,3,2,2,4,2,2,2,2,3,3,2,3,2,2,3,unassisted,3,2
218,3,4,4,3,3,4,4,3,4,4,1,4,4,3,4,3,4,2,3,4,unassisted,3,4
219,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,2,4,3,unassisted,3,3
220,3,3,3,4,2,3,3,2,4,3,2,4,3,3,3,2,2,2,3,3,unassisted,3,3
221,4,4,4,3,3,4,4,4,4,3,2,3,4,3,4,3,4,4,2,4,unassisted,4,3
222,4,4,4,4,4,4,4,3,4,2,4,4,4,3,4,3,4,4,0,3,unassisted,4,4
223,4,4,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4,0,4,unassisted,4,4
224,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,unassisted,4,4
225,2,4,4,2,2,3,2,4,4,4,3,1,1,2,3,2,3,4,2,3,unassisted,4,3
226,2,3,3,4,3,3,3,2,4,3,2,4,3,3,3,3,2,3,3,4,unassisted,4,3
227,4,4,4,4,4,4,4,4,4,4,3,2,4,3,4,4,4,3,3,4,unassisted,4,4
228,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,unassisted,4,4
229,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,unassisted,4,4
230,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,unassisted,4,4
231,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,unassisted,4,4
232,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,unassisted,4,4
233,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,3,3,4,unassisted,4,4
234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,unassisted,4,4
235,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,unassisted,4,4
236,4,0,4,0,4,4,0,0,0,4,0,0,0,2,4,0,4,0,4,4,unassisted,4,3
237,4,4,4,4,4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4,unassisted,4,4
238,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,unassisted,4,4
239,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,unassisted,4,4
240,4,0,4,0,0,4,4,0,4,0,4,0,0,2,4,0,0,0,3,3,unassisted,4,3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
